District,Total Number of Monitored Stations,Observed Range of Water Level,Year,MeanDepth
East Medinipur,25,1.83 - 26.99,2023,14.41
HOWRAH,24,0.43 - 21.87,2023,11.15
HUGLI,32,1.4 - 21.05,2023,11.225
JALPAIGURI,21,1.33 - 10,2023,5.665
JHARGRAM,6,4.2 - 19.71,2023,11.955
KOLKATA,1,10.25 - 10.62,2023,10.435
MALDAH,19,1.73 - 34.42,2023,18.075
MURSHIDABAD,88,3.97 - 31.62,2023,17.795
NADIA,61,1 - 10.12,2023,5.56
NORTH 24 PARGANAS,49,0.72 - 13.48,2023,7.1
PASCHIM BARDHAMAN,27,1.25 - 13.36,2023,7.305
PURBA BARDHAMAN,39,1.7 - 29.18,2023,15.44
PURULIYA,53,2.81 - 11.74,2023,7.275
SOUTH 24 PARGANAS,62,1.11 - 25.81,2023,13.46
UTTAR DINAJPUR,1,3.22 - 3.22,2023,3.22
West Medinipur,47,1.63 - 26.26,2023,13.945
BANKURA,1,15.34 - 15.48,2024,15.41
BARDDHAMAN,6,5.8 - 24.48,2024,15.14
BIRBHUM,12,8.99 - 35.69,2024,22.34
East Medinipur,9,7.8 - 22.9,2024,15.35
HUGLI,6,6.48 - 18.11,2024,12.295
KOLKATA,1,10.53 - 10.55,2024,10.54
MURSHIDABAD,18,4.7 - 30,2024,17.35
NADIA,16,1 - 10.86,2024,5.93
NORTH 24 PARGANAS,5,2.19 - 14.59,2024,8.39
West Medinipur,7,8.03 - 22.25,2024,15.14
