District,Total Number of Monitored Stations,Observed Range of Water Level,Year,MeanDepth
JHARGRAM,7,1.74 - 7.78,2021,4.76
MALDAH,23,0.21 - 10.04,2021,5.125
MURSHIDABAD,26,1.03 - 28.2,2021,14.615
NADIA,42,0.34 - 6.26,2021,3.3
NORTH 24 PARGANAS,31,0.75 - 11.8,2021,6.275
NORTH DINAJPUR,7,0.73 - 4.97,2021,2.8499999999999996
PASCHIM BARDHAMAN,32,0.25 - 11.49,2021,5.87
PURBA BARDHAMAN,34,0.63 - 24.95,2021,12.79
PURULIYA,36,1.04 - 4.03,2021,2.535
SOUTH 24 PARGANAS,45,0.13 - 13.5,2021,6.815
South Dinajpur,11,0.5 - 7.64,2021,4.07
UTTAR DINAJPUR,1,1.64 - 1.64,2021,1.64
West Medinipur,22,0.96 - 13.62,2021,7.289999999999999
BANKURA,52,0.69 - 13.73,2022,7.21
BIRBHUM,65,1.8 - 28.1,2022,14.950000000000001
Calcutta,9,7.07 - 21.98,2022,14.525
COOCH BEHAR,18,0.99 - 6.46,2022,3.725
DARJILING,14,1.28 - 6.68,2022,3.98
East Medinipur,12,1.13 - 19.32,2022,10.225
HOWRAH,21,0.45 - 17.08,2022,8.764999999999999
HUGLI,21,1.2 - 26.5,2022,13.85
JALPAIGURI,32,1.1 - 16.14,2022,8.620000000000001
JHARGRAM,8,1.53 - 8.23,2022,4.88
MALDAH,18,0.9 - 9.39,2022,5.1450000000000005
MURSHIDABAD,28,2 - 30.49,2022,16.244999999999997
NADIA,45,1.25 - 11.42,2022,6.335
NORTH 24 PARGANAS,34,1.04 - 13.26,2022,7.15
NORTH DINAJPUR,7,2.07 - 5.44,2022,3.755
PASCHIM BARDHAMAN,30,0.69 - 11.66,2022,6.175
PURBA BARDHAMAN,34,1.01 - 28.4,2022,14.705
PURULIYA,40,2.02 - 7.51,2022,4.765
SOUTH 24 PARGANAS,39,0.4 - 17.5,2022,8.95
South Dinajpur,11,2.58 - 9.82,2022,6.2
UTTAR DINAJPUR,1,2.56 - 2.56,2022,2.56
West Medinipur,29,0.81 - 17.36,2022,9.084999999999999
BANKURA,2,1.65 - 14.81,2023,8.23
BARDDHAMAN,7,4.49 - 24.03,2023,14.260000000000002
BIRBHUM,14,2.55 - 35.45,2023,19.0
East Medinipur,9,0.72 - 17.38,2023,9.049999999999999
HUGLI,6,4.45 - 16.69,2023,10.57
KOLKATA,1,8.4 - 10.83,2023,9.615
MURSHIDABAD,19,1.34 - 28.97,2023,15.155
NADIA,17,0 - 9.8,2023,4.9
NORTH 24 PARGANAS,5,0.26 - 12.11,2023,6.185
West Medinipur,7,2.93 - 18.5,2023,10.715
